"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"107","1506.00128v1","2015-05-30 15:27:53","2015-05-30 15:27:53","A Web Environment for Geometry","  The Web Geometry Laboratory, (WGL), is a blended-learning, collaborative and
adaptive, Web environment for geometry. It integrates a well known dynamic
geometry system. In a collaborative session, exchange of geometrical and
textual information between the user engaged in the session is possible. In a
normal work session (stand-alone mode), all the geometric steps done by the
students are recorded, alongside the navigation information, allowing, in a
latter stage, their teachers to ""play back"" the students sessions, using that
info to assert the students level and adjust the teaching strategies to each
individual student. Teachers can register and begin using one of the public
servers, defining students, preparing materials to be released to the students,
open collaborative sessions, etc. Using an action research methodology the WGL
system is being developed, validated through case-studies, and further
improved, in a cycle where the implementation steps are intertwined with case
studies.
","Pedro Quaresma|Vanda Santos|Milena Marić","","http://arxiv.org/abs/1506.00128v1","http://arxiv.org/pdf/1506.00128v1","","CICM 2015, Conference on Intelligent Computer Mathematics
  (Work-in-Progress track), July 13-17, 2015, Washington DC, USA","","","cs.CY","cs.CY|97G40|K.3.1, K.3.2, I.3.5"
"108","1506.01911v3","2015-06-05 13:43:01","2016-02-10 16:50:29","Beyond Temporal Pooling: Recurrence and Temporal Convolutions for
  Gesture Recognition in Video","  Recent studies have demonstrated the power of recurrent neural networks for
machine translation, image captioning and speech recognition. For the task of
capturing temporal structure in video, however, there still remain numerous
open research questions. Current research suggests using a simple temporal
feature pooling strategy to take into account the temporal aspect of video. We
demonstrate that this method is not sufficient for gesture recognition, where
temporal information is more discriminative compared to general video
classification tasks. We explore deep architectures for gesture recognition in
video and propose a new end-to-end trainable neural network architecture
incorporating temporal convolutions and bidirectional recurrence. Our main
contributions are twofold; first, we show that recurrence is crucial for this
task; second, we show that adding temporal convolutions leads to significant
improvements. We evaluate the different approaches on the Montalbano gesture
recognition dataset, where we achieve state-of-the-art results.
","Lionel Pigou|Aäron van den Oord|Sander Dieleman|Mieke Van Herreweghe|Joni Dambre","","http://arxiv.org/abs/1506.01911v3","http://arxiv.org/pdf/1506.01911v3","","","","","cs.CV","cs.CV|cs.AI|cs.LG|cs.NE|stat.ML"
"109","1506.02211v1","2015-06-07 02:29:45","2015-06-07 02:29:45","Boosting Optical Character Recognition: A Super-Resolution Approach","  Text image super-resolution is a challenging yet open research problem in the
computer vision community. In particular, low-resolution images hamper the
performance of typical optical character recognition (OCR) systems. In this
article, we summarize our entry to the ICDAR2015 Competition on Text Image
Super-Resolution. Experiments are based on the provided ICDAR2015 TextSR
dataset and the released Tesseract-OCR 3.02 system. We report that our winning
entry of text image super-resolution framework has largely improved the OCR
performance with low-resolution images used as input, reaching an OCR accuracy
score of 77.19%, which is comparable with that of using the original
high-resolution images 78.80%.
","Chao Dong|Ximei Zhu|Yubin Deng|Chen Change Loy|Yu Qiao","","http://arxiv.org/abs/1506.02211v1","http://arxiv.org/pdf/1506.02211v1","","5 pages, 8 figures","","","cs.CV","cs.CV|I.4.3; I.4.9"
"110","1506.05632v1","2015-06-18 11:31:55","2015-06-18 11:31:55","An Open Science Platform for the Next Generation of Data","  Imagine an online work environment where researchers have direct and
immediate access to myriad data sources and tools and data management
resources, useful throughout the research lifecycle. This is our vision for the
next generation of the Dataverse Network: an Open Science Platform (OSP). For
the first time, researchers would be able to seamlessly access and create
primary and derived data from a variety of sources: prior research results,
public data sets, harvested online data, physical instruments, private data
collections, and even data from other standalone repositories. Researchers
could recruit research participants and conduct research directly on the OSP,
if desired, using readily available tools. Researchers could create private or
shared workspaces to house data, access tools, and computation and could
publish data directly on the platform or publish elsewhere with persistent,
data citations on the OSP. This manuscript describes the details of an Open
Science Platform and its construction. Having an Open Science Platform will
especially impact the rate of new scientific discoveries and make scientific
findings more credible and accountable.
","Latanya Sweeney|Merce Crosas","","http://arxiv.org/abs/1506.05632v1","http://arxiv.org/pdf/1506.05632v1","","32 pages, 8 figures","","","cs.CY","cs.CY|cs.DL|H.3.1; H.3.2; H.3.3; H.3.5; H.3.6; H.3.7; H.2.7; H.2.8"
"111","1506.09118v1","2015-06-30 15:31:42","2015-06-30 15:31:42","City Data Fusion: Sensor Data Fusion in the Internet of Things","  Internet of Things (IoT) has gained substantial attention recently and play a
significant role in smart city application deployments. A number of such smart
city applications depend on sensor fusion capabilities in the cloud from
diverse data sources. We introduce the concept of IoT and present in detail ten
different parameters that govern our sensor data fusion evaluation framework.
We then evaluate the current state-of-the art in sensor data fusion against our
sensor data fusion framework. Our main goal is to examine and survey different
sensor data fusion research efforts based on our evaluation framework. The
major open research issues related to sensor data fusion are also presented.
","Meisong Wang|Charith Perera|Prem Prakash Jayaraman|Miranda Zhang|Peter Strazdins|Rajiv Ranjan","","http://arxiv.org/abs/1506.09118v1","http://arxiv.org/pdf/1506.09118v1","","Accepted to be published in International Journal of Distributed
  Systems and Technologies (IJDST), 2015","","","cs.CY","cs.CY|cs.NI"
"112","1507.01295v1","2015-07-05 23:19:19","2015-07-05 23:19:19","The Remixing Dilemma: The Trade-off Between Generativity and Originality","  In this paper we argue that there is a trade-off between generativity and
originality in online communities that support open collaboration. We build on
foundational theoretical work in peer production to formulate and test a series
of hypotheses suggesting that the generativity of creative works is associated
with moderate complexity, prominent authors, and cumulativeness. We also
formulate and test three hypotheses that these qualities are associated with
decreased originality in resulting derivatives. Our analysis uses a rich data
set from the Scratch Online Community --a large web-site where young people
openly share and remix animations and video games. We discuss the implications
of this trade-off for the design of peer production systems that support
amateur creativity.
","Benjamin Mako Hill|Andrés Monroy-Hernández","","http://arxiv.org/abs/1507.01295v1","http://arxiv.org/pdf/1507.01295v1","http://dx.doi.org/10.1177/0002764212469359","American Behavioral Scientist (2012)","","10.1177/0002764212469359","cs.CY","cs.CY|cs.HC|cs.SI"
"113","1507.07909v4","2015-07-28 19:31:44","2017-10-16 12:56:24","Offline Handwritten Signature Verification - Literature Review","  The area of Handwritten Signature Verification has been broadly researched in
the last decades, but remains an open research problem. The objective of
signature verification systems is to discriminate if a given signature is
genuine (produced by the claimed individual), or a forgery (produced by an
impostor). This has demonstrated to be a challenging task, in particular in the
offline (static) scenario, that uses images of scanned signatures, where the
dynamic information about the signing process is not available. Many
advancements have been proposed in the literature in the last 5-10 years, most
notably the application of Deep Learning methods to learn feature
representations from signature images. In this paper, we present how the
problem has been handled in the past few decades, analyze the recent
advancements in the field, and the potential directions for future research.
","Luiz G. Hafemann|Robert Sabourin|Luiz S. Oliveira","","http://arxiv.org/abs/1507.07909v4","http://arxiv.org/pdf/1507.07909v4","http://dx.doi.org/10.1109/IPTA.2017.8310112","Accepted to the International Conference on Image Processing Theory,
  Tools and Applications (IPTA 2017)","","10.1109/IPTA.2017.8310112","cs.CV","cs.CV|stat.ML|I.5.4"
"114","1508.02766v6","2015-08-11 22:39:32","2016-09-07 08:11:19","FFT-Based Fast Computation of Multivariate Kernel Estimators with
  Unconstrained Bandwidth Matrices","  The problem of fast computation of multivariate kernel density estimation
(KDE) is still an open research problem. In our view, the existing solutions do
not resolve this matter in a satisfactory way. One of the most elegant and
efficient approach utilizes the fast Fourier transform. Unfortunately, the
existing FFT-based solution suffers from a serious limitation, as it can
accurately operate only with the constrained (i.e., diagonal) multivariate
bandwidth matrices. In this paper we describe the problem and give a
satisfactory solution. The proposed solution may be successfully used also in
other research problems, for example for the fast computation of the optimal
bandwidth for KDE.
","Artur Gramacki|Jarosław Gramacki","","http://arxiv.org/abs/1508.02766v6","http://arxiv.org/pdf/1508.02766v6","","10 pages, 1 figure, R source codes","","","stat.CO","stat.CO"
"115","1508.04180v3","2015-08-17 23:53:51","2016-03-05 13:34:27","A Comprehensive Perspective on Pilot-Job Systems","  Pilot-Job systems play an important role in supporting distributed scientific
computing. They are used to consume more than 700 million CPU hours a year by
the Open Science Grid communities, and by processing up to 1 million jobs a day
for the ATLAS experiment on the Worldwide LHC Computing Grid. With the
increasing importance of task-level parallelism in high-performance computing,
Pilot-Job systems are also witnessing an adoption beyond traditional domains.
Notwithstanding the growing impact on scientific research, there is no
agreement upon a definition of Pilot-Job system and no clear understanding of
the underlying abstraction and paradigm. Pilot-Job implementations have
proliferated with no shared best practices or open interfaces and little
interoperability. Ultimately, this is hindering the realization of the full
impact of Pilot-Jobs by limiting their robustness, portability, and
maintainability. This paper offers a comprehensive analysis of Pilot-Job
systems critically assessing their motivations, evolution, properties, and
implementation. The three main contributions of this paper are: (i) an analysis
of the motivations and evolution of Pilot-Job systems; (ii) an outline of the
Pilot abstraction, its distinguishing logical components and functionalities,
its terminology, and its architecture pattern; and (iii) the description of
core and auxiliary properties of Pilot-Jobs systems and the analysis of seven
exemplar Pilot-Job implementations. Together, these contributions illustrate
the Pilot paradigm, its generality, and how it helps to address some challenges
in distributed scientific computing.
","Matteo Turilli|Mark Santcroos|Shantenu Jha","","http://arxiv.org/abs/1508.04180v3","http://arxiv.org/pdf/1508.04180v3","","","","","cs.DC","cs.DC|cs.SE|68Nxx"
"116","1508.04752v1","2015-08-18 12:39:05","2015-08-18 12:39:05","Performance-oriented DevOps: A Research Agenda","  DevOps is a trend towards a tighter integration between development (Dev) and
operations (Ops) teams. The need for such an integration is driven by the
requirement to continuously adapt enterprise applications (EAs) to changes in
the business environment. As of today, DevOps concepts have been primarily
introduced to ensure a constant flow of features and bug fixes into new
releases from a functional perspective. In order to integrate a non-functional
perspective into these DevOps concepts this report focuses on tools,
activities, and processes to ensure one of the most important quality
attributes of a software system, namely performance.
  Performance describes system properties concerning its timeliness and use of
resources. Common metrics are response time, throughput, and resource
utilization. Performance goals for EAs are typically defined by setting upper
and/or lower bounds for these metrics and specific business transactions. In
order to ensure that such performance goals can be met, several activities are
required during development and operation of these systems as well as during
the transition from Dev to Ops. Activities during development are typically
summarized by the term Software Performance Engineering (SPE), whereas
activities during operations are called Application Performance Management
(APM). SPE and APM were historically tackled independently from each other, but
the newly emerging DevOps concepts require and enable a tighter integration
between both activity streams. This report presents existing solutions to
support this integration as well as open research challenges in this area.
","Andreas Brunnert|Andre van Hoorn|Felix Willnecker|Alexandru Danciu|Wilhelm Hasselbring|Christoph Heger|Nikolas Herbst|Pooyan Jamshidi|Reiner Jung|Joakim von Kistowski|Anne Koziolek|Johannes Kroß|Simon Spinner|Christian Vögele|Jürgen Walter|Alexander Wert","","http://arxiv.org/abs/1508.04752v1","http://arxiv.org/pdf/1508.04752v1","","","","","cs.SE","cs.SE|cs.PF"
"117","1508.04635v2","2015-08-19 13:18:43","2017-03-05 16:09:35","Unit Testing, Model Validation, and Biological Simulation","  The growth of the software industry has gone hand in hand with the
development of tools and cultural practices for ensuring the reliability of
complex pieces of software. These tools and practices are now acknowledged to
be essential to the management of modern software. As computational models and
methods have become increasingly common in the biological sciences, it is
important to examine how these practices can accelerate biological software
development and improve research quality. In this article, we give a focused
case study of our experience with the practices of unit testing and test-driven
development in OpenWorm, an open-science project aimed at modeling
Caenorhabditis elegans. We identify and discuss the challenges of incorporating
test-driven development into a heterogeneous, data-driven project, as well as
the role of model validation tests, a category of tests unique to software
which expresses scientific models.
","Gopal P. Sarma|Travis W. Jacobs|Mark D. Watts|Vahid Ghayoomi|Richard C. Gerkin|Stephen D. Larson","","http://arxiv.org/abs/1508.04635v2","http://arxiv.org/pdf/1508.04635v2","http://dx.doi.org/10.12688/f1000research.9315.1","13 pages, 8 figures","F1000Research 2016, 5:1946","10.12688/f1000research.9315.1","q-bio.QM","q-bio.QM|cs.SE"
"118","1508.05973v2","2015-08-24 21:05:29","2015-11-04 23:25:37","A Review of Nonparametric Hypothesis Tests of Isotropy Properties in
  Spatial Data","  An important aspect of modeling spatially-referenced data is appropriately
specifying the covariance function of the random field. A practitioner working
with spatial data is presented a number of choices regarding the structure of
the dependence between observations. One of these choices is determining
whether or not an isotropic covariance function is appropriate. Isotropy
implies that spatial dependence does not depend on the direction of the spatial
separation between sampling locations. Misspecification of isotropy properties
(directional dependence) can lead to misleading inferences, e.g., inaccurate
predictions and parameter estimates. A researcher may use graphical
diagnostics, such as directional sample variograms, to decide whether the
assumption of isotropy is reasonable. These graphical techniques can be
difficult to assess, open to subjective interpretations, and misleading.
Hypothesis tests of the assumption of isotropy may be more desirable. To this
end, a number of tests of directional dependence have been developed using both
the spatial and spectral representations of random fields. We provide an
overview of nonparametric methods available to test the hypotheses of isotropy
and symmetry in spatial data. We summarize test properties, discuss important
considerations and recommendations in choosing and implementing a test, compare
several of the methods via a simulation study, and propose a number of open
research questions. Several of the reviewed methods can be implemented in R
using our package spTest, available on CRAN.
","Zachary D. Weller|Jennifer A. Hoeting","","http://arxiv.org/abs/1508.05973v2","http://arxiv.org/pdf/1508.05973v2","","22 pages, 6 figures, 9 tables, appendix","","","stat.ME","stat.ME|stat.OT"
"119","1509.02783v2","2015-09-09 14:05:18","2015-09-19 12:19:25","Accelerating News Integration in Automatic Knowledge Extraction
  Ecosystems: an API-first Outlook","  Leveraging Application Programming Interfaces (APIs) has been widely
acknowledged as a valuable approach to software and system design that have
promoted the acceleration of products and services development by allowing the
decoupling of interface design from service implementation details. Many
organizations in the news and journalism industry have adopted and promoted
this API oriented approach. In the first part of this paper, we provide a
survey of the most significant recent work around traditional news and
journalistic open APIs and how these have been influenced by and impacted the
news product landscape. In the second part of the paper, we identify two
disruptive technology trends that we believe will impact the role and value of
news/journalism products in the future: API-first development methodologies,
and the increased role of news-supported automatic knowledge extraction and
analytic services. We anticipate that these two driving forces will create a
new wave of adoption, open collaboration, standardization and overall progress
in news content adoption in knowledge platforms. We provide a brief overview of
our experience in this area at Dow Jones.
","Juan M. Huerta|Clancy Childs","","http://arxiv.org/abs/1509.02783v2","http://arxiv.org/pdf/1509.02783v2","","","","","cs.CY","cs.CY|cs.SE"
"120","1509.04076v1","2015-09-14 13:09:22","2015-09-14 13:09:22","A systematic literature review on process model testing: Approaches,
  challenges, and research directions","  Testing is a key concern when developing process-oriented solutions as it
supports modeling experts who have to deal with increasingly complex models and
scenarios such as cross-organizational processes. However, the complexity of
the research landscape and the diverse set of approaches and goals impedes the
analysis and advancement of research and the identification of promising
research areas, challenges, and research directions. Hence, a systematic
literature review is conducted to identify interesting areas for future
research and to provide an overview of existing work. Over 6300 potentially
matching publications were determined during the search (literature databases,
selected conferences\journals, and snowballing). Finally, 153 publications from
2002 to 2013 were selected, analyzed, and classified. It was found that the
software engineering domain has influenced process model testing approaches
(e.g., regarding terminology and concepts), but recent publications are
presenting independent approaches. Additionally, historical data sources are
not exploited to their full potential and current testing related publications
frequently contain evaluations of relatively weak quality. Overall, the
publication landscape is unevenly distributed so that over 31 publications
concentrate on test-case generation but only 4 publications conduct performance
test. Hence, the full potential of such insufficiently covered testing areas is
not exploited. This systematic review provides a comprehensive overview of the
interdisciplinary topic of process model testing. Several open research
questions are identified, for example, how to apply testing to
cross-organizational or legacy processes and how to adequately include users
into the testing methods.
","Kristof Böhmer|Stefanie Rinderle-Ma","","http://arxiv.org/abs/1509.04076v1","http://arxiv.org/pdf/1509.04076v1","","","","","cs.SE","cs.SE"
"121","1604.08159v1","2015-09-26 02:03:35","2015-09-26 02:03:35","Fujiwhara interaction of tropical cyclone scale vortices using a
  weighted residual collocation method","  The fundamental interaction between tropical cyclones was investigated
through a series of water tank experiements by Fujiwhara [20, 21, 22]. However,
a complete understanding of tropical cyclones remains an open research
challenge although there have been numerous investigations through measurments
with aircrafts/satellites, as well as with numerical simulations. This article
presents a computational model for simulating the interaction between cyclones.
The proposed numerical method is presented briefly, where the time integration
is performed by projecting the discrete system onto a Krylov subspace. The
method filters the large scale fluid dynamics using a multiresolution
approximation, and the unresolved dynamics is modeled with a Smagorinsky type
subgrid scale parameterization scheme. Numerical experiments with Fujiwhara
interactions are considered to verify modeling accuracy. An excellent agreement
between the present simulation and a reference simulation at Re = 5000 has been
demonstrated. At Re = 37440, the kinetic energy of cyclones is seen
consolidated into larger scales with concurrent enstrophy cascade, suggesting a
steady increase of energy containing scales, a phenomena that is typical in
two-dimensional turbulence theory. The primary results of this article suggest
a novel avenue for addressing some of the computational challenges of mesoscale
atmospheric circulations.
","Raymond P Walsh|Jahrul M Alam","","http://arxiv.org/abs/1604.08159v1","http://arxiv.org/pdf/1604.08159v1","http://dx.doi.org/10.1002/fld.4209","24 pages, 11 figures, submitted","","10.1002/fld.4209","physics.flu-dyn","physics.flu-dyn"
"122","1511.04109v1","2015-11-12 22:06:58","2015-11-12 22:06:58","Software Analytics to Software Domains: A Systematic Literature Review","  Software Analytics (SA) is a new branch of big data analytics that has
recently emerged (2011). What distinguishes SA from direct software analysis is
that it links data mined from many different software artifacts to obtain
valuable insights. These insights are useful for the decision-making process
throughout the different phases of the software lifecycle. Since SA is
currently a hot and promising topic, we have conducted a systematic literature
review, presented in this paper, to identify gaps in knowledge and open
research areas in SA. Because many researchers are still confused about the
true potential of SA, we had to filter out available research papers to obtain
the most SA-relevant work for our review. This filtration yielded 19 studies
out of 135. We have based our systematic review on four main factors: which
software practitioners SA targets, which domains are covered by SA, which
artifacts are extracted by SA, and whether these artifacts are linked or not.
The results of our review have shown that much of the available SA research
only serves the needs of developers. Also, much of the available research uses
only one artifact which, in turn, means fewer links between artifacts and fewer
insights. This shows that the available SA research work is still embryonic
leaving plenty of room for future research in the SA field.
","Tamer Mohamed Abdelltif|Luiz Fernando Capretz|Danny Ho","","http://arxiv.org/abs/1511.04109v1","http://arxiv.org/pdf/1511.04109v1","http://dx.doi.org/10.1109/BIGDSE.2015.14","pp. 30-36","37th IEEE International Conference on Software Engineering -
  Workshop on BIGDSE, 2015","10.1109/BIGDSE.2015.14","cs.SE","cs.SE"
"123","1511.06252v1","2015-11-19 16:51:44","2015-11-19 16:51:44","Network-based recommendation algorithms: A review","  Recommender systems are a vital tool that helps us to overcome the
information overload problem. They are being used by most e-commerce web sites
and attract the interest of a broad scientific community. A recommender system
uses data on users' past preferences to choose new items that might be
appreciated by a given individual user. While many approaches to recommendation
exist, the approach based on a network representation of the input data has
gained considerable attention in the past. We review here a broad range of
network-based recommendation algorithms and for the first time compare their
performance on three distinct real datasets. We present recommendation topics
that go beyond the mere question of which algorithm to use - such as the
possible influence of recommendation on the evolution of systems that use it -
and finally discuss open research directions and challenges.
","Fei Yu|An Zeng|Sebastien Gillard|Matus Medo","","http://arxiv.org/abs/1511.06252v1","http://arxiv.org/pdf/1511.06252v1","http://dx.doi.org/10.1016/j.physa.2016.02.021","review article; 16 pages, 4 figures, 4 tables","Physica A 452, 192 (2016)","10.1016/j.physa.2016.02.021","cs.IR","cs.IR|physics.soc-ph"
"124","1512.04467v1","2015-11-20 15:24:22","2015-11-20 15:24:22","A Model for Safety Case Confidence Assessment","  Building a safety case is a common approach to make expert judgement explicit
about safety of a system. The issue of confidence in such argumentation is
still an open research field. Providing quantitative estimation of confidence
is an interesting approach to manage complexity of arguments. This paper
explores the main current approaches, and proposes a new model for quantitative
confidence estimation based on Belief Theory for its definition, and on
Bayesian Belief Networks for its propagation in safety case networks.
","Jérémie Guiochet|Quynh Anh Do Hoang|Mohamed Kaaniche","LAAS-TSF|LAAS-TSF|LAAS-TSF","http://arxiv.org/abs/1512.04467v1","http://arxiv.org/pdf/1512.04467v1","http://dx.doi.org/10.1007/978-3-319-24255-2_23","","34th International Conference on Computer Safety, Reliability and
  Security, Sep 2015, Delft, Netherlands. Springer, Lecture Notes in Computer
  Science, Vol. 9337, Programming and Software Engineering, Springer, 2015,
  http://safecomp2015.tudelft.nl/","10.1007/978-3-319-24255-2_23","cs.AI","cs.AI"
"125","1511.08689v1","2015-11-27 14:45:14","2015-11-27 14:45:14","Energy Efficiency in Massive MIMO-Based 5G Networks: Opportunities and
  Challenges","  As we make progress towards the era of fifth generation (5G) communication
networks, energy efficiency (EE) becomes an important design criterion because
it guarantees sustainable evolution. In this regard, the massive multiple-input
multiple-output (MIMO) technology, where the base stations (BSs) are equipped
with a large number of antennas so as to achieve multiple orders of spectral
and energy efficiency gains, will be a key technology enabler for 5G. In this
article, we present a comprehensive discussion on state-of-the-art techniques
which further enhance the EE gains offered by massive MIMO (MM). We begin with
an overview of MM systems and discuss how realistic power consumption models
can be developed for these systems. Thereby, we discuss and identify few
shortcomings of some of the most prominent EE-maximization techniques present
in the current literature. Then, we discuss ""hybrid MM systems"" operating in a
5G architecture, where MM operates in conjunction with other potential
technology enablers, such as millimetre wave, heterogenous networks, and energy
harvesting networks. Multiple opportunities and challenges arise in such a 5G
architecture because these technologies benefit mutually from each other and
their coexistence introduces several new constraints on the design of
energy-efficient systems. Despite clear evidence that hybrid MM systems can
achieve significantly higher EE gains than conventional MM systems, several
open research problems continue to roadblock system designers from fully
harnessing the EE gains offered by hybrid MM systems. Our discussions lead to
the conclusion that hybrid MM systems offer a sustainable evolution towards 5G
networks and are therefore an important research topic for future work.
","K. N. R. Surya Vara Prasad|Ekram Hossain|Vijay K. Bhargava","","http://arxiv.org/abs/1511.08689v1","http://arxiv.org/pdf/1511.08689v1","","IEEE Wireless Communications, under review","","","cs.NI","cs.NI|cs.IT|math.IT"
"126","1512.03565v1","2015-12-11 09:51:58","2015-12-11 09:51:58","A Survey of multimedia streaming in wireless sensor networks: progress,
  issues and design challenges","  Advancements in Complementary Metal Oxide Semiconductor (CMOS) technology
have enabled Wireless Sensor Networks (WSN) to gather, process and transport
multimedia (MM) data as well and not just limited to handling ordinary scalar
data anymore. This new generation of WSN type is called Wireless Multimedia
Sensor Networks (WMSNs). Better and yet relatively cheaper sensors that are
able to sense both scalar data and multimedia data with more advanced
functionalities such as being able to handle rather intense computations easily
have sprung up. In this paper, the applications, architectures, challenges and
issues faced in the design of WMSNs are explored. Security and privacy issues,
over all requirements, proposed and implemented solutions so far, some of the
successful achievements and other related works in the field are also
highlighted. Open research areas are pointed out and a few solution suggestions
to the still persistent problems are made, which, to the best of my knowledge,
so far have not been explored yet.
","Taner Cevik|Alex Gunagwera|Nazife Cevik","","http://arxiv.org/abs/1512.03565v1","http://arxiv.org/pdf/1512.03565v1","http://dx.doi.org/10.5121/ijcnc.2015.7508","","","10.5121/ijcnc.2015.7508","cs.NI","cs.NI"
"127","1512.04817v1","2015-12-15 15:29:36","2015-12-15 15:29:36","Principled Evaluation of Differentially Private Algorithms using DPBench","  Differential privacy has become the dominant standard in the research
community for strong privacy protection. There has been a flood of research
into query answering algorithms that meet this standard. Algorithms are
becoming increasingly complex, and in particular, the performance of many
emerging algorithms is {\em data dependent}, meaning the distribution of the
noise added to query answers may change depending on the input data.
Theoretical analysis typically only considers the worst case, making empirical
study of average case performance increasingly important.
  In this paper we propose a set of evaluation principles which we argue are
essential for sound evaluation. Based on these principles we propose DPBench, a
novel evaluation framework for standardized evaluation of privacy algorithms.
We then apply our benchmark to evaluate algorithms for answering 1- and
2-dimensional range queries. The result is a thorough empirical study of 15
published algorithms on a total of 27 datasets that offers new insights into
algorithm behavior---in particular the influence of dataset scale and
shape---and a more complete characterization of the state of the art. Our
methodology is able to resolve inconsistencies in prior empirical studies and
place algorithm performance in context through comparison to simple baselines.
Finally, we pose open research questions which we hope will guide future
algorithm design.
","Michael Hay|Ashwin Machanavajjhala|Gerome Miklau|Yan Chen|Dan Zhang","","http://arxiv.org/abs/1512.04817v1","http://arxiv.org/pdf/1512.04817v1","","","","","cs.DB","cs.DB|cs.CR"
"128","1512.05075v1","2015-12-16 07:41:55","2015-12-16 07:41:55","Smart Data Pricing Models for Internet-of-Things (IoT): A Bundling
  Strategy Approach","  Internet of things (IoT) has emerged as a new paradigm for the future
Internet. In IoT, enormous devices are connected to the Internet and thereby
being a huge data source for numerous applications. In this article, we focus
on addressing data management in IoT through using a smart data pricing (SDP)
approach. With SDP, data can be managed flexibly and efficiently through
intelligent and adaptive incentive mechanisms. Moreover, it is a major source
of revenue for providers and partners. We propose a new pricing scheme for IoT
service providers to determine the sensing data buying price and IoT service
subscription fee offered to sensor owners and service users, respectively.
Additionally, we adopt the bundling strategy that allows multiple providers to
form a coalition and bid their services as a bundle, attracting more users and
achieving higher revenue. Finally, we outline some important open research
issues for SDP and IoT.
","Dusit Niyato|Dinh Thai Hoang|Nguyen Cong Luong|Ping Wang|Dong In Kim|Zhu Han","","http://arxiv.org/abs/1512.05075v1","http://arxiv.org/pdf/1512.05075v1","","17 pages, 6 figures, 1 table, IEEE Network Magazine, 2015","","","cs.GT","cs.GT"
"129","1512.05619v1","2015-12-17 15:02:36","2015-12-17 15:02:36","Modeling Joint Improvisation between Human and Virtual Players in the
  Mirror Game","  Joint improvisation is observed to emerge spontaneously among humans
performing joint action tasks, and has been associated with high levels of
movement synchrony and enhanced sense of social bonding. Exploring the
underlying cognitive and neural mechanisms behind the emergence of joint
improvisation is an open research challenge. This paper investigates the
emergence of jointly improvised movements between two participants in the
mirror game, a paradigmatic joint task example. A theoretical model based on
observations and analysis of experimental data is proposed to capture the main
features of their interaction. A set of experiments is carried out to test and
validate the model ability to reproduce the experimental observations. Then,
the model is used to drive a computer avatar able to improvise joint motion
with a human participant in real time. Finally, a convergence analysis of the
proposed model is carried out to confirm its ability to reproduce the emergence
of joint movement between the participants.
","Chao Zhai|Francesco Alderisio|Piotr Slowinski|Krasimira Tsaneva-Atanasova|Mario di Bernardo","","http://arxiv.org/abs/1512.05619v1","http://arxiv.org/pdf/1512.05619v1","","","","","math.OC","math.OC|math.DS|q-bio.NC"
"130","1512.07919v1","2015-12-24 21:01:08","2015-12-24 21:01:08","Improving Software Citation and Credit","  The past year has seen movement on several fronts for improving software
citation, including the Center for Open Science's Transparency and Openness
Promotion (TOP) Guidelines, the Software Publishing Special Interest Group that
was started at January's AAS meeting in Seattle at the request of that
organization's Working Group on Astronomical Software, a Sloan-sponsored
meeting at GitHub in San Francisco to begin work on a cohesive research
software citation-enabling platform, the work of Force11 to ""transform and
improve"" research communication, and WSSSPE's ongoing efforts that include
software publication, citation, credit, and sustainability.
  Brief reports on these efforts were shared at the BoF, after which
participants discussed ideas for improving software citation, generating a list
of recommendations to the community of software authors, journal publishers,
ADS, and research authors. The discussion, recommendations, and feedback will
help form recommendations for software citation to those publishers represented
in the Software Publishing Special Interest Group and the broader community.
","Alice Allen|G. Bruce Berriman|Kimberly DuPrie|Jessica Mink|Robert Nemiroff|Thomas Robitaille|Lior Shamir|Keith Shortridge|Mark Taylor|Peter Teuben|John Wallin","","http://arxiv.org/abs/1512.07919v1","http://arxiv.org/pdf/1512.07919v1","","Birds of a Feather session organized by the Astrophysics Source Code
  Library (ASCL, http://ascl.net/ ); to be published in Proceedings of ADASS
  XXV (Sydney, Australia; October, 2015). 4 pages","","","cs.DL","cs.DL|astro-ph.IM"
"131","1601.00199v1","2016-01-02 17:50:13","2016-01-02 17:50:13","A Unified Framework for Compositional Fitting of Active Appearance
  Models","  Active Appearance Models (AAMs) are one of the most popular and
well-established techniques for modeling deformable objects in computer vision.
In this paper, we study the problem of fitting AAMs using Compositional
Gradient Descent (CGD) algorithms. We present a unified and complete view of
these algorithms and classify them with respect to three main characteristics:
i) cost function; ii) type of composition; and iii) optimization method.
Furthermore, we extend the previous view by: a) proposing a novel Bayesian cost
function that can be interpreted as a general probabilistic formulation of the
well-known project-out loss; b) introducing two new types of composition,
asymmetric and bidirectional, that combine the gradients of both image and
appearance model to derive better conver- gent and more robust CGD algorithms;
and c) providing new valuable insights into existent CGD algorithms by
reinterpreting them as direct applications of the Schur complement and the
Wiberg method. Finally, in order to encourage open research and facilitate
future comparisons with our work, we make the implementa- tion of the
algorithms studied in this paper publicly available as part of the Menpo
Project.
","Joan Alabort-i-Medina|Stefanos Zafeiriou","","http://arxiv.org/abs/1601.00199v1","http://arxiv.org/pdf/1601.00199v1","","39 pages","","","cs.CV","cs.CV"
